Year,Funder,State,Money
2023,"Performa Labs, Inc.",California,40000
2022,"Federal Way Campus, LLC",California,40000
2020,7-ELEVEN INC,Colorado,40000
2019,7-ELEVEN INC,Colorado,40000
2018,7-ELEVEN INC,Colorado,40000
2022,AMERICAN FOREST & PAPER ASSN,District of Columbia,40000
2018,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,40000
2017,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,40000
2016,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,40000
2023,AMERICAN RECYCLABLE PLASTIC BAG ALLIANCE,District of Columbia,40000
2023,Inseparable Action,District of Columbia,40000
2022,"Scientific Games, LLC",Georgia,40000
2017,"US Ecology Washington, Inc.",Idaho,40000
2021,American Fraternal Alliance,Indiana,40000
2020,AMC,Kansas,40000
2019,"Magellan Health, Inc.",Maryland,40000
2023,Securities Industry and Financial Markets Association,New York,40000
2021,"Horizon Therapeutics USA, Inc.",Nevada,40000
2022,SERVICE CONTRACT INDUSTRY CNCL,New York,40000
2022,"Secure Identity, LLC",New York,40000
2021,NATIONAL ELEVATOR INDUSTRY INC,New York,40000
2019,AMERICAN FIDELITY CORP,Oklahoma,40000
2019,Public Generating Pool,Oregon,40000
2016,HAMPTON TREE FARMS LLC,Oregon,40000
2022,Mi-Case,Pennsylvania,40000
2021,HF Sinclair,Texas,40000
2021,Western Governors University,Utah,40000
2021,Global Tel*Link Corporation,Virginia,40000
2021,Dell Technologies Inc. c/o 50 to 1 LLC,Virginia,40000
2020,CIOX HEALTH LLC (THRU MULTISTATE ASSOCIATES LLC),Virginia,40000
2021,7-ELEVEN INC,Colorado,39999.96
2017,7-ELEVEN INC,Colorado,39999.96
2016,7-ELEVEN INC,Colorado,39999.96
2017,"Citigroup Washington, Inc.",District of Columbia,39999.96
2016,"Citigroup Washington, Inc.",District of Columbia,39999.96
2022,McDonalds Corporation,Illinois,39999.96
2021,McDonalds Corporation,Illinois,39999.96
2019,ABBOTT LABORATORIES,Illinois,39999.96
2018,ABBOTT LABORATORIES,Illinois,39999.96
2023,McDonalds Corporation,Illinois,39999.96
2019,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION,Oregon,39999.96
2018,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION,Oregon,39999.96
2017,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION,Oregon,39999.96
2023,American Coatings Association,District of Columbia,39999.3
2017,ABBOTT LABORATORIES,Illinois,39996
2022,3M CO,Minnesota,39816.63
2023,"Washington Housing Development, LLC",Missouri,39800
2016,Bayer U.S. LLC ,New Jersey,39794
2018,INTL CODE COUNCIL,District of Columbia,39779.1
2022,"Bio Energy (Washington), LLC",Virginia,39600
2020,"Bio Energy (Washington), LLC",Virginia,39600
2021,WINE INSTITUTE,California,39541.66
2021,AMERICAN FOREST & PAPER ASSN,District of Columbia,39500
2019,SPRINT NEXTEL,California,39333
2019,NATIONWIDE INSURANCE,Ohio,39333
2019,Crown Castle and Affiliates ,Texas,39333
2018,RENEWABLE NORTHWEST,Oregon,39316.16
2021,"Assurant, Inc.",Florida,39127.52
2018,NATL RIFLE ASSN OF AMERICA,Virginia,39059.73
2017,UNIFIED GROCERS,Minnesota,39028.05
2022,AMERICAN RECYCLABLE PLASTIC BAG ALLIANCE,District of Columbia,39000
2019,PROCTER & GAMBLE CO,Ohio,39000
2018,PROCTER & GAMBLE CO,Ohio,39000
2018,SMART TD PAC,Ohio,39000
2017,PROCTER & GAMBLE CO,Ohio,39000
2018,Western Governors University,Utah,39000
2017,WESTAF,Colorado,38850
2022,GENENTECH,California,38835
2022,Sierra Pacific Industries,California,38834
2021,Glass Packaging Institute (GPI),Virginia,38800
2016,PROCTER & GAMBLE CO,Ohio,38750
2023,Clean Fuels Alliance America,Minnesota,38666.64
2018,Bayer U.S. LLC ,New Jersey,38600
2017,Navient Solutions Inc,District of Columbia,38500
2020,Nez Perce Tribe,Idaho,38500
2019,GIrls Who Code,New York,38500
2021,RENEWABLE NORTHWEST,Oregon,38500
2019,"KinderCare Learning Companies, LLC",Oregon,38500
2018,CIOX HEALTH LLC (THRU MULTISTATE ASSOCIATES LLC),Virginia,38400
2016,FARMERS INSURANCE GROUP,California,38383.66
2023,CIGAR ASSN OF AMERICA,District of Columbia,38083.97
2018,CIGAR ASSN OF AMERICA,District of Columbia,38041.63
2023,"Color Health, Inc.",California,38000
2020,AMERICAN FOREST & PAPER ASSN,District of Columbia,38000
2019,AMERICAN FOREST & PAPER ASSN,District of Columbia,38000
2018,AMERICAN FOREST & PAPER ASSN,District of Columbia,38000
2017,AMERICAN FOREST & PAPER ASSN,District of Columbia,38000
2023,AMERICAN FOREST & PAPER ASSN,District of Columbia,38000
2020,GENENTECH,California,37940
2019,COMP TIA,California,37920.18
2018,COMP TIA,California,37800
2021,3M CO,Minnesota,37800
2018,3M CO,Minnesota,37800
2017,3M CO,Minnesota,37800
2020,3M CO,Minnesota,37733.33
2016,"AMERICAN SOCIETY OF COMPOSERS, AUTHORS, & PUBLISHERS",New York,37650
2017,CIOX HEALTH LLC (THRU MULTISTATE ASSOCIATES LLC),Virginia,37600
2020,Far West Agribusiness Association,Idaho,37516.8
2020,FIDELITY NATIONAL FINANCIAL INC,California,37500.02
2020,"DoorDash, Inc",California,37500
2022,SMART TD PAC,Ohio,37500
2018,Pharmaceutical Industry Labor-Management Association,Ohio,37500
2021,BRISTOL-MYERS SQUIBB CO,District of Columbia,37273.4
2023,Pacific Association for Medical Equipment Services (PAMES) thru MultiState Associates LLC,Virginia,36999.98
2020,The Trust for Public Land,Colorado,36999.35
2020,Sierra Pacific Industries,California,36975
2023,AXS Group LLC,California,36838.7
2019,GENENTECH,California,36800
2019,3M CO,Minnesota,36666.63
2018,EAZE,California,36500
2020,Renewable Hydrogen Alliance,Oregon,36500
2017,"Acentra Health, including affiliated entity CNSI",Virginia,36028.05
2021,"Graduation Alliance, Inc.",California,36000
2020,"Graduation Alliance, Inc.",California,36000
2018,SPRINT NEXTEL,California,36000
2018,GENENTECH,California,36000
2017,SPRINT NEXTEL,California,36000
2017,EVgo Services LLC,California,36000
2017,COMP TIA,California,36000
2017,GENENTECH,California,36000
2016,COMP TIA,California,36000
2023,"DirecTV, LLC",California,36000
2022,"Graduation Alliance, Inc.",California,36000
2022,"Canals of Ellensburg, LLC",California,36000
2023,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,Connecticut,36000
2022,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,Connecticut,36000
2021,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,Connecticut,36000
2020,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,Connecticut,36000
2019,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,Connecticut,36000
2018,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,Connecticut,36000
2017,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,Connecticut,36000
2022,The Association of Plastic Recyclers (APR),District of Columbia,36000
2022,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,36000
2021,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,36000
2020,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,36000
2019,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,36000
2018,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,36000
2017,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,36000
2016,PHILIPS ELECTRONICS NORTH AMERICA,District of Columbia,36000
2023,American Cleaning Institute,District of Columbia,36000
2023,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,36000
2019,Rayonier,Florida,36000
2018,Rayonier,Florida,36000
2016,Rayonier,Florida,36000
2022,BOISE CASCADE COMPANY,Idaho,36000
2021,BOISE CASCADE COMPANY,Idaho,36000
2019,Northpoint Recovery LLC,Idaho,36000
2023,BOISE CASCADE COMPANY,Idaho,36000
2022,PACKAGING CORP OF AMERICA,Illinois,36000
2021,PACKAGING CORP OF AMERICA,Illinois,36000
2019,PACKAGING CORP OF AMERICA,Illinois,36000
2018,National Council of State Boards of Nursing,Illinois,36000
2018,PACKAGING CORP OF AMERICA,Illinois,36000
2017,PACKAGING CORP OF AMERICA,Illinois,36000
2016,PACKAGING CORP OF AMERICA,Illinois,36000
2023,PACKAGING CORP OF AMERICA,Illinois,36000
2021,Bamboo Health,Kentucky,36000
2019,"Interise, Inc.",Massachusetts,36000
2017,LIBERTY MUTUAL INSURANCE,Massachusetts,36000
2016,LIBERTY MUTUAL INSURANCE,Massachusetts,36000
2023,PACIFIC PROPANE GAS ASSN,Michigan,36000
2018,"Starkey Laboratories, Inc. dba Starkey Hearing Technologies",Minnesota,36000
2016,3M CO,Minnesota,36000
2022,American Association of Orthodontists,Missouri,36000
2022,"AlR Distribution USA, Inc.",North Carolina,36000
2021,"AlR Distribution USA, Inc.",North Carolina,36000
2016,EISAI INC,New Jersey,36000
2023,"AlR Distribution USA, Inc.",North Carolina,36000
2017,SCIENTIFIC GAMES CORPORATION,Nevada,36000
2016,SCIENTIFIC GAMES CORPORATION,Nevada,36000
2020,NATIONAL ELEVATOR INDUSTRY INC,New York,36000
2019,NATIONAL ELEVATOR INDUSTRY INC,New York,36000
2018,NATIONWIDE INSURANCE,Ohio,36000
2017,NATIONWIDE INSURANCE,Ohio,36000
2022,Oregon Bioscience Assn,Oregon,36000
2021,Oregon Bioscience Assn,Oregon,36000
2020,Oregon Bioscience Assn,Oregon,36000
2020,Washington State Animal Damage Control Program,Oregon,36000
2019,Violet Power,Oregon,36000
2019,Washington State Animal Damage Control Program,Oregon,36000
2017,Western Governors University,Utah,36000
2022,PUBLIC CONSULTING GROUP LLC  c/o MultiState Associates Inc.,Virginia,36000
2020,"College Parent, L.P. dba ""Yahoo""",Virginia,36000
2019,"College Parent, L.P. dba ""Yahoo""",Virginia,36000
2017,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,36000
2019,Sierra Pacific Industries,California,35690
2018,"ReviverMx, Inc.",California,35500
2017,"Securus Technologies, Inc. (thru National Strategies)",District of Columbia,35500
2019,Renewable Hydrogen Alliance,Oregon,35500
2018,American Coatings Association,District of Columbia,35347.44
2022,Compassion & Choices Action Network,Colorado,35234.66
2021,American Coatings Association,District of Columbia,35005.92
2020,Adobe Inc.,California,35000
2016,LYFT INC,California,35000
2022,"Straight Smile, LLC",California,35000
2021,Growth Energy,District of Columbia,35000
2023,"Global Payments, Inc.",Georgia,35000
2022,"Divert, Inc.",Massachusetts,35000
2019,SERVICE CONTRACT INDUSTRY CNCL,New York,35000
2018,SERVICE CONTRACT INDUSTRY CNCL,New York,35000
2020,AMERICAN FIDELITY CORP,Oklahoma,35000
2017,1-800 CONTACTS,Utah,35000
2022,CIOX HEALTH LLC (THRU MULTISTATE ASSOCIATES LLC),Virginia,35000
2017,"College Parent, L.P. dba ""Yahoo""",Virginia,35000
2022,American Coatings Association,District of Columbia,34999.92
2020,American Coatings Association,District of Columbia,34999.92
2017,American Coatings Association,District of Columbia,34999.92
2022,"STAND FOR CHILDREN, INC.",Oregon,34770.73
2021,ChargePoint Inc,California,34633.57
2020,"Acentra Health, including affiliated entity CNSI",Virginia,34625
2021,Far West Agribusiness Association,Idaho,34516.8
2019,Far West Agribusiness Association,Idaho,34516.8
2018,Far West Agribusiness Association,Idaho,34516.8
2017,Far West Agribusiness Association,Idaho,34516.8
2016,Far West Agribusiness Association,Idaho,34516.8
2020,TESLA,California,34500
2019,The Trust for Public Land,Colorado,34500
2018,The Trust for Public Land,Colorado,34430.02
2022,Radius Recycling (Formerly SCHNITZER STEEL INDUSTRIES INC),Oregon,34236
2016,AMERICAN FOREST & PAPER ASSN,District of Columbia,34200
2016,"Acentra Health, including affiliated entity CNSI",Virginia,34194
2019,"Axon Enterprise, Inc.",California,34107.68
2020,"bluebird bio, Inc.",Massachusetts,34000
2023,Certification Board for Music Therapists,Pennsylvania,34000
2023,Ultragenyx Pharmaceutical Inc.,California,33730.35
2022,National Association of Wine Retailers,Oregon,33687.5
2018,Space Exploration Technologies Corp. (SpaceX),California,33600
2022,WELLS FARGO & CO,Minnesota,33371
2023,WELLS FARGO & CO,Minnesota,33370
2023,3M CO,Minnesota,33333.3
2020,SMART TD PAC,Ohio,33250
2022,PACIFIC PROPANE GAS ASSN,Michigan,33213.37
2020,LKQ Corporation,Illinois,33200
2020,"Lucid USA, Inc",California,33000
2017,The Trust for Public Land,Colorado,33000
2016,The Trust for Public Land,Colorado,33000
2022,"Drivewyze, Inc. (thru National Strategies, LLC)",District of Columbia,33000
2017,Viatris Inc.,District of Columbia,33000
2016,PERSONAL CARE PRODUCTS COUNCIL,District of Columbia,33000
2018,Motorola Solutions Inc,Illinois,33000
2021,Chemours,Indiana,33000
2019,Bamboo Health,Kentucky,33000
2017,DraftKings Inc.,Massachusetts,33000
2016,VERTEX PHARMACEUTICALS INC,Massachusetts,33000
2020,Consumer Direct Care Network Washington LLC.,Montana,33000
2017,FanDuel Group,New York,33000
2016,NW NATURAL GAS,Oregon,33000
2023,Northwest RiverPartners,Oregon,33000
2019,"Bio Energy (Washington), LLC",Virginia,33000
2021,PACIFIC PROPANE GAS ASSN,Michigan,32960.04
2020,PACIFIC PROPANE GAS ASSN,Michigan,32960
2017,American Rental Assn (Thru MultiState),Virginia,32826
2018,USAA,Texas,32781.84
2017,USAA,Texas,32781.84
2016,WA ASSN OF ROUTE OPERATORS,Oregon,32700
2020,OCHIN Inc.,California,32634.6
2021,"Honeywell International, Inc.",District of Columbia,32500
2023,Manulife Investment Management Timberland and Agriculture,Idaho,32500
2022,Behavioral Health Solutions,Nevada,32500
2017,Securities Industry and Financial Markets Association,New York,32500
2020,SAP PUBLIC SERVICES INC,Pennsylvania,32500
2022,SAVE THE CHILDREN ACTION NETWORK,District of Columbia,32400
2019,PACIFIC PROPANE GAS ASSN,Michigan,32000.04
2018,Spark Therapeutics Inc.,California,32000
2023,"Encore Capital Group, Inc.",California,32000
2021,AMERICAN RECYCLABLE PLASTIC BAG ALLIANCE,District of Columbia,32000
2017,"CA, Inc.",District of Columbia,32000
2021,J.S. Held,New York,32000
2021,"SkyNRG Americas, Inc",Oregon,32000
2019,"The Gordian Group, Inc.",South Carolina,32000
2020,"FirstCash, Inc. dba Cash America",Texas,32000
2019,"Copart, Inc.",Texas,32000
2017,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,32000
2016,"Autolotto, Inc. dba Lottery.com  (THRU MULTI STATE)",Virginia,32000
2020,NATL RIFLE ASSN OF AMERICA,Virginia,31840.43
2020,WESTAF,Colorado,31820
2021,Tobacco-Free Action Fund,District of Columbia,31500
2018,Pacific Northwest Farmers Cooperative Inc,Idaho,31500
2023,NORTHWEST AUTOMATIC VENDING ASSN,Virginia,31500
2017,New Venture Fund,District of Columbia,31250
2020,"Copart, Inc.",Texas,31000.02
2023,"Airbnb, Inc.",California,30783.65
2016,EDUCATION REFORM NOW ADVOCACY,New York,30757.12
2018,United Rentals c/o MultiState Associates Inc.,Virginia,30535
2019,OCHIN Inc.,California,30533.65
2018,OCHIN Inc.,California,30509.62
2020,BOISE CASCADE COMPANY,Idaho,30500
2023,Sagitec Solutions LLC,Minnesota,30500
2016,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,30333.35
2022,"Assurant, Inc.",Florida,30332.01
2023,Congressional Sportsmen's Foundation,District of Columbia,30156.12
2021,Recology,California,30000
2019,"Jinro America, Inc.",California,30000
2017,Global Discoveries LTD,California,30000
2023,Merit International Inc.,California,30000
2023,Visa U.S.A. Inc.,California,30000
2023,First American Title Insurance Company,California,30000
2022,Merit International Inc.,California,30000
2018,CIGNA CORPORATE SERVICES,Connecticut,30000
2017,CIGNA CORPORATE SERVICES,Connecticut,30000
2016,CIGNA CORPORATE SERVICES,Connecticut,30000
2022,AMERICAN EXPRESS TRAVEL RELATED SERVICES,District of Columbia,30000
2022,AMERICAN WOOD COUNCIL,District of Columbia,30000
2022,Coalition for Genetic Data Protection,District of Columbia,30000
2021,AMERICAN EXPRESS TRAVEL RELATED SERVICES,District of Columbia,30000
2020,AMERICAN EXPRESS TRAVEL RELATED SERVICES,District of Columbia,30000
2020,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,30000
2020,"MOTION PICTURE ASSOCIATION, INC.",District of Columbia,30000
2019,AMERICAN EXPRESS TRAVEL RELATED SERVICES,District of Columbia,30000
2018,AMERICAN EXPRESS TRAVEL RELATED SERVICES,District of Columbia,30000
2018,UNITED TECHNOLOGIES CORP,District of Columbia,30000
2018,"MOTION PICTURE ASSOCIATION, INC.",District of Columbia,30000
2017,AMERICAN EXPRESS TRAVEL RELATED SERVICES,District of Columbia,30000
2017,UNITED TECHNOLOGIES CORP,District of Columbia,30000
2017,"MOTION PICTURE ASSOCIATION, INC.",District of Columbia,30000
2016,UNITED TECHNOLOGIES CORP,District of Columbia,30000
2016,BRISTOL-MYERS SQUIBB CO,District of Columbia,30000
2016,"MOTION PICTURE ASSOCIATION, INC.",District of Columbia,30000
2023,AMERICAN EXPRESS TRAVEL RELATED SERVICES,District of Columbia,30000
2020,"Dun & Bradstreet, Inc.",Florida,30000
2019,"VENUETIZE, INC.",Florida,30000
2023,"Dun & Bradstreet, Inc.",Florida,30000
2021,"Lamb Weston, Inc",Idaho,30000
2019,BOISE CASCADE COMPANY,Idaho,30000
2018,BOISE CASCADE COMPANY,Idaho,30000
2017,BOISE CASCADE COMPANY,Idaho,30000
2022,"Ensono, Inc.",Illinois,30000
2021,National Council of State Boards of Nursing,Illinois,30000
2023,"Ensono, Inc.",Illinois,30000
2019,Plasma Protein Therapeutics Association,Maryland,30000
2018,Plasma Protein Therapeutics Association,Maryland,30000
2023,"Fire Boss, LLC",Minnesota,30000
2023,Perimeter Solutions,Missouri,30000
2022,"Fire Boss, LLC",Minnesota,30000
2019,"Ameriprise Financial, Inc.",Minnesota,30000
2019,Clean Fuels Alliance America,Missouri,30000
2021,City Ventures,Nebraska,30000
2023,"Milan Laser Corporate, LLC dba Milan Laser Hair Removal",Nebraska,30000
2023,MetLife,New York,30000
2017,EISAI INC,New Jersey,30000
2022,MetLife,New York,30000
2021,MetLife,New York,30000
2020,MetLife,New York,30000
2019,EDUCATION REFORM NOW ADVOCACY,New York,30000
2019,MetLife,New York,30000
2018,EDUCATION REFORM NOW ADVOCACY,New York,30000
2018,MetLife,New York,30000
2017,EDUCATION REFORM NOW ADVOCACY,New York,30000
2022,"The Partners Group, LLC",Oregon,30000
2021,"Presidio Networked Solutions Group, LLC",Oregon,30000
2021,Public Generating Pool,Oregon,30000
2021,"The Partners Group, LLC",Oregon,30000
2020,"The Partners Group, LLC",Oregon,30000
2019,NW SPORTFISHING INDUSTRY ASSN,Oregon,30000
2018,NW SPORTFISHING INDUSTRY ASSN,Oregon,30000
2017,NW SPORTFISHING INDUSTRY ASSN,Oregon,30000
2016,NW SPORTFISHING INDUSTRY ASSN,Oregon,30000
2023,Wild Salmon Center,Oregon,30000
2021,"Omega Flex, Inc.",Pennsylvania,30000
2019,SAP PUBLIC SERVICES INC,Pennsylvania,30000
2016,SAP PUBLIC SERVICES INC,Pennsylvania,30000
2022,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,30000
2021,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,30000
2020,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,30000
2019,Wireless Infrastructure Association (thru MultiState Associates LLC),Virginia,30000
2019,Swedish Match North America LLC,Virginia,30000
2019,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,30000
2018,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,30000
2016,APPLUS TECHNOLOGIES (THRU MULTISATE),Virginia,30000
2016,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,30000
2016,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,30000
2016,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,30000
2023,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,30000
2023,"USA Fortescue Future Industries, Inc. ",Virginia,30000
2021,S. C. Johnson & Son,Wisconsin,30000
2023,ABBOTT LABORATORIES,Illinois,29999.98
2019,American Rental Assn (Thru MultiState),Virginia,29999.97
2021,"Bio Energy (Washington), LLC",Virginia,29700
2019,Bayer U.S. LLC ,New Jersey,29619.31
2018,Opportunity Solutions Project,Florida,29500
2018,"The Partners Group, LLC",Oregon,29250
2019,"Getaround, Inc.",California,29166.65
2020,U.S. Tire Manufacturers Association,District of Columbia,29000
2023,"American Rivers, Inc.",Oregon,29000
2016,CIOX HEALTH LLC (THRU MULTISTATE ASSOCIATES LLC),Virginia,29000
2019,Oregon Bioscience Assn,Oregon,28500
2017,FARMERS INSURANCE GROUP,California,28382.62
2018,National Psoriasis Foundation,Oregon,28227.42
2021,AIDS Healthcare Foundation,California,28000
2016,SUNRUN INC,California,28000
2022,"Block, Inc.",California,28000
2023,TICKET NETWORK,Connecticut,28000
2017,ENERGY FREEDOM COALITION OF AMERICA LLC,District of Columbia,28000
2020,"US Ecology Washington, Inc.",Idaho,28000
2020,"Cultural Care, Inc.",Massachusetts,28000
2021,Securities Industry and Financial Markets Association,New York,28000
2020,Securities Industry and Financial Markets Association,New York,28000
2019,Securities Industry and Financial Markets Association,New York,28000
2017,WA ST MOTORSPORT DEALERS ASSN,Oklahoma,28000
2022,Northwest Portland Area Indian Health Board,Oregon,28000
2018,"KinderCare Learning Companies, LLC",Oregon,28000
2022,Clean Fuels Alliance America,Missouri,27999.96
2019,PRE-PAID LEGAL SERVICES INC,Oklahoma,27975
2023,National Insurance Crime Bureau,Illinois,27955.2
2017,AMERICAN FOREST RESOURCE CNCL,Oregon,27642.5
2018,"Redflex Traffic Systems, Inc.",Arizona,27500
2017,"Redflex Traffic Systems, Inc.",Arizona,27500
2020,Receivables Management Association International,California,27500
2019,"MOTION PICTURE ASSOCIATION, INC.",District of Columbia,27500
2022,REEF Technology,Florida,27500
2021,"Marriott International, Inc.",Maryland,27500
2019,"The Partners Group, LLC",Oregon,27500
2017,"Youth Villages, Inc.",Tennessee,27500
2017,BrightSpring Health Services (THRU MULTISTATE ASSOCIATES LLC),Virginia,27500
2017,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,27000
2019,"Graduation Alliance, Inc.",California,27000
2019,"Neology, Inc.",California,27000
2019,PAX Labs,California,27000
2018,"Neology, Inc.",California,27000
2023,"Sumitomo Pharma America, Inc.",California,27000
2018,WestRock,Georgia,27000
2017,WestRock,Georgia,27000
2023,CENTER FOR DIAGNOSTIC IMAGING,Minnesota,27000
2021,Renewable Hydrogen Alliance,Oregon,27000
2019,Life Flight Network,Oregon,27000
2023,Oregon Bioscience Assn,Oregon,27000
2023,Chevron Phillips Chemical Company LP,Texas,27000
2017,NW NATURAL GAS,Oregon,26746
2019,CENTER FOR DIAGNOSTIC IMAGING,Minnesota,26740
2020,American Staffing Association,Virginia,26673.23
2021,Advantage Capital,California,26400
2016,PACIFIC PROPANE GAS ASSN,Michigan,26400
2023,"AMERESCO, INC.",District of Columbia,26370.97
2020,"Encore Capital Group, Inc.",California,26000
2016,SIGNATURE HEALTHCARE SERVICES LLC,California,26000
2023,"Prolacta Bioscience, Inc.",California,26000
2020,Kimberly-Clark Corporation,Georgia,26000
2022,CENTER FOR DIAGNOSTIC IMAGING,Minnesota,26000
2021,CENTER FOR DIAGNOSTIC IMAGING,Minnesota,26000
2021,TEKNI-PLEX,Pennsylvania,26000
2019,Acadia Healthcare,Tennessee,26000
2020,Up for Growth Action,District of Columbia,25961.52
2019,WESTAF,Colorado,25850
2021,"Equifax, Inc",Georgia,25833
2017,RENEWABLE NORTHWEST,Oregon,25713.64
2022,Advantage Capital,California,25500
2020,AMERICAN RECYCLABLE PLASTIC BAG ALLIANCE,District of Columbia,25500
2020,CENTER FOR DIAGNOSTIC IMAGING,Minnesota,25500
2018,CENTER FOR DIAGNOSTIC IMAGING,Minnesota,25500
2022,SCIENTIFIC GAMES CORPORATION,Nevada,25500
2020,Northwest Portland Area Indian Health Board,Oregon,25241.94
2022,KEYBANK,Ohio,25200
2023,KEYBANK,Ohio,25200
2018,PACIFIC PROPANE GAS ASSN,Michigan,25080
2021,The Clorox Company,California,25000
2021,Universal Hydrogen Co.,California,25000
2020,COMP TIA,California,25000
2020,"Honeywell International, Inc.",District of Columbia,25000
2020,Growth Energy,District of Columbia,25000
2018,Coalition for Access to Prenatal Screening,District of Columbia,25000
2018,NATL ASSN OF VISION CARE PLANS,Georgia,25000
2017,NATL ASSN OF VISION CARE PLANS,Georgia,25000
2016,NATL ASSN OF VISION CARE PLANS,Georgia,25000
2016,REIMBURSEMENT SERVICES LLC,Illinois,25000
2023,National Safety Council,Illinois,25000
2019,Enhanced Capital,Louisiana,25000
2018,"Orexo US, Inc.",New Jersey,25000
2019,Blackstone Real Estate Services LLC,New York,25000
2022,AMERICAN FIDELITY CORP,Oklahoma,25000
2021,AMERICAN FIDELITY CORP,Oklahoma,25000
2018,Wireless Infrastructure Association (thru MultiState Associates LLC),Virginia,25000
2019,Alkylphenols & Ethoxylates Research Council,District of Columbia,24999.99
2021,American Staffing Association,Virginia,24999.96
2020,Clean Fuels Alliance America,Missouri,24999
2020,R. L. Polk & Co.,Michigan,24600
2016,"Redflex Traffic Systems, Inc.",Arizona,24500
2017,CAMPAIGN FOR TOBACCO FREE KIDS,District of Columbia,24500
2016,AMERICAN INTERNATIONAL GROUP INC ,New York,24500
2019,EDP Renewables North America,Oregon,24500
2021,KEYBANK,Ohio,24452.76
2020,KEYBANK,Ohio,24452.76
2019,KEYBANK,Ohio,24452.76
2018,KEYBANK,Ohio,24452.76
2017,KEYBANK,Ohio,24452.76
2021,SYNGENTA,California,24000
2021,Receivables Management Association International,California,24000
2021,Gradable LLC,California,24000
2020,SYNGENTA,California,24000
2019,SYNGENTA,California,24000
2019,"Trilogy Integrated Resources, LLC",California,24000
2018,SYNGENTA,California,24000
2017,INTUIT,California,24000
2017,SYNGENTA,California,24000
2016,SYNGENTA,California,24000
2023,SYNGENTA,California,24000
2023,FORD MOTOR CO,California,24000
2023,VMware LLC,California,24000
2022,IEC Corporation,California,24000
2018,HUDSON GOVT AFFAIRS LLC,Colorado,24000
2022,Home Care Association of America,District of Columbia,24000
2021,Home Care Association of America,District of Columbia,24000
2021,L3HARRIS,District of Columbia,24000
2020,Home Care Association of America,District of Columbia,24000
2020,Tobacco-Free Action Fund,District of Columbia,24000
2020,L3HARRIS,District of Columbia,24000
2020,RAIL PASSENGERS ASSOC (ONBEHALFOF ALL ABOARD WA),District of Columbia,24000
2019,L3HARRIS,District of Columbia,24000
2019,RAIL PASSENGERS ASSOC (ONBEHALFOF ALL ABOARD WA),District of Columbia,24000
2018,"CA, Inc.",District of Columbia,24000
2018,L3HARRIS,District of Columbia,24000
2017,PHILIPS ELECTRONICS NORTH AMERICA,District of Columbia,24000
2017,L3HARRIS,District of Columbia,24000
2023,Center for Climate Integrity,District of Columbia,24000
2022,Veritec Solutions,Florida,24000
2021,MCNA HEALTH CARE HOLDINGS,Florida,24000
2021,Veritec Solutions,Florida,24000
2019,Veritec Solutions,Florida,24000
2018,Veritec Solutions,Florida,24000
2017,Veritec Solutions,Florida,24000
2016,Veritec Solutions,Florida,24000
2023,"National Vision, Inc. ",Georgia,24000
2020,Northpoint Recovery LLC,Idaho,24000
2022,National Safety Council,Illinois,24000
2021,"bluebird bio, Inc.",Massachusetts,24000
